FECHA ,QUILLABAMBA
16/9/2017,6908
17/9/2017,5167
18/9/2017,10854
19/9/2017,10600
20/9/2017,10993
21/9/2017,10794
22/9/2017,11021
23/9/2017,5794
24/9/2017,4594
25/9/2017,10385
26/9/2017,10070
27/9/2017,10218
28/9/2017,10318
29/9/2017,10899
30/9/2017,7155
1/10/2017,5011
2/10/2017,10354
3/10/2017,10414
4/10/2017,10805
5/10/2017,9565
6/10/2017,10356
7/10/2017,6865
8/10/2017,5532
9/10/2017,10343
10/10/2017,11143
11/10/2017,10182
12/10/2017,10592
13/10/2017,10592
14/10/2017,6699
15/10/2017,4664
16/10/2017,10430
17/10/2017,10224
18/10/2017,10416
19/10/2017,10119
20/10/2017,10515
21/10/2017,7162
22/10/2017,5612
23/10/2017,10183
24/10/2017,10557
25/10/2017,10629
26/10/2017,11016
27/10/2017,11075
28/10/2017,7516
29/10/2017,6242
30/10/2017,10675
31/10/2017,12294
1/11/2017,10183
2/11/2017,5948
3/11/2017,10476
4/11/2017,7158
5/11/2017,6295
6/11/2017,10247
7/11/2017,10272
8/11/2017,10379
9/11/2017,10354
10/11/2017,11065
11/11/2017,6791
12/11/2017,5592
13/11/2017,10293
14/11/2017,10392
15/11/2017,10045
16/11/2017,10458
17/11/2017,10652
18/11/2017,7976
19/11/2017,5575
20/11/2017,10527
21/11/2017,10859
22/11/2017,10334
23/11/2017,10262
24/11/2017,10378
25/11/2017,6924
26/11/2017,5604
27/11/2017,9899
28/11/2017,10177
29/11/2017,9905
30/11/2017,10384
1/12/2017,10264
2/12/2017,6377
4/12/2017,9799
5/12/2017,10185
6/12/2017,9804
7/12/2017,9189
8/12/2017,9953
9/12/2017,7500
10/12/2017,6325
11/12/2017,10236
12/12/2017,9570
13/12/2017,9837
14/12/2017,10075
15/12/2017,10368
16/12/2017,7799
17/12/2017,6869
18/12/2017,9846
19/12/2017,9368
20/12/2017,8795
21/12/2017,8761
22/12/2017,8879
23/12/2017,7270
24/12/2017,5506
25/12/2017,5756
26/12/2017,7612
27/12/2017,7727
28/12/2017,7981
29/12/2017,7779
30/12/2017,5194
31/12/2017,4385
1/1/2018,5871
2/1/2018,7749
3/1/2018,7935
4/1/2018,8076
5/1/2018,8177
6/1/2018,5638
7/1/2018,4988
8/1/2018,7947
9/1/2018,8273
10/1/2018,8403
11/1/2018,6597
12/1/2018,8502
13/1/2018,5233
14/1/2018,4795
15/1/2018,8683
16/1/2018,8703
17/1/2018,8983
18/1/2018,9399
19/1/2018,8888
20/1/2018,5577
21/1/2018,5243
22/1/2018,5306
23/1/2018,9098
24/1/2018,9174
25/1/2018,9812
26/1/2018,9916
27/1/2018,7584
28/1/2018,5816
29/1/2018,9667
30/1/2018,9888
31/1/2018,9262
1/2/2018,9295
2/2/2018,10120
3/2/2018,6652
4/2/2018,6091
5/2/2018,10931
6/2/2018,10629
7/2/2018,1438
8/2/2018,11002
9/2/2018,10127
10/2/2018,6784
11/2/2018,4637
12/2/2018,4372
13/2/2018,5117
14/2/2018,10707
15/2/2018,10982
16/2/2018,10419
17/2/2018,7053
18/2/2018,5905
19/2/2018,10954
20/2/2018,10988
21/2/2018,3017
22/2/2018,10780
23/2/2018,10962
24/2/2018,6552
25/2/2018,6131
26/2/2018,11036
27/2/2018,10717
28/2/2018,10758
1/3/2018,10790
2/3/2018,10830
3/3/2018,7267
4/3/2018,6571
5/3/2018,10187
6/3/2018,10503
7/3/2018,10388
8/3/2018,10271
9/3/2018,10481
10/3/2018,5351
11/3/2018,4830
12/3/2018,10323
13/3/2018,10611
14/3/2018,9630
15/3/2018,10158
16/3/2018,9280
17/3/2018,6295
18/3/2018,4740
19/3/2018,9784
20/3/2018,9742
21/3/2018,9658
22/3/2018,10449
23/3/2018,9539
24/3/2018,6326
25/3/2018,4783
26/3/2018,9841
27/3/2018,9845
28/3/2018,10495
29/3/2018,9641
30/3/2018,5195
31/3/2018,5294
1/4/2018,4821
2/4/2018,10187
3/4/2018,10759
4/4/2018,10385
5/4/2018,10194
6/4/2018,9194
7/4/2018,6170
8/4/2018,5320
9/4/2018,10127
10/4/2018,10647
11/4/2018,10282
12/4/2018,10259
13/4/2018,10065
14/4/2018,6544
15/4/2018,5394
16/4/2018,10050
17/4/2018,10280
18/4/2018,9674
19/4/2018,9913
20/4/2018,10276
21/4/2018,6517
22/4/2018,5652
23/4/2018,10191
24/4/2018,10393
25/4/2018,10052
26/4/2018,10005
27/4/2018,10090
28/4/2018,5955
29/4/2018,5284
30/4/2018,9502
1/5/2018,6253
2/5/2018,10778
3/5/2018,9778
4/5/2018,9950
5/5/2018,5767
6/5/2018,4626
7/5/2018,10101
8/5/2018,9674
9/5/2018,9964
10/5/2018,9768
11/5/2018,10172
12/5/2018,6689
13/5/2018,5896
14/5/2018,9556
15/5/2018,9688
16/5/2018,9786
17/5/2018,9691
18/5/2018,9884
19/5/2018,7841
20/5/2018,5149
21/5/2018,9884
22/5/2018,9878
23/5/2018,9708
24/5/2018,9400
25/5/2018,9851
26/5/2018,4492
27/5/2018,5221
28/5/2018,9682
29/5/2018,10057
30/5/2018,9348
31/5/2018,5140
1/6/2018,9502
2/6/2018,5712
3/6/2018,3430
4/6/2018,8973
5/6/2018,9612
6/6/2018,9456
7/6/2018,9471
8/6/2018,9701
9/6/2018,5643
10/6/2018,3872
11/6/2018,9361
12/6/2018,8602
13/6/2018,9201
14/6/2018,9257
15/6/2018,9441
16/6/2018,5702
17/6/2018,4193
18/6/2018,9233
19/6/2018,9070
20/6/2018,8966
21/6/2018,4432
22/6/2018,8963
23/6/2018,5479
24/6/2018,4476
25/6/2018,9478
26/6/2018,9250
27/6/2018,8927
28/6/2018,9000
